UUN,Age,Region,Gender,Nationality,Programme,Year,Status,Route,Year 1 Courses,Year 2 Courses,Year 3 Courses
S2272251,28,Trinidad and Tobago,Male,Trinidad & Tobago,PTMFMFAMME2P,2,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S1200118,39,Canada,Female,Canada,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2617178,27,South Africa,Male,South Africa,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2463943,28,Egypt,Male,Egypt,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2610715,31,EGYPT,Male,Egypt,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2445053,39,Pakistan,Female,Pakistan,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2616924,40,Jamaica,Female,Jamaica,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2267702,29,Burundi,Female,Burundi,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2126257,31,Guyana,Female,Guyana,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2135583,33,Guyana,Female,Jamaica,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2618091,30,ENGLAND,Male,United Kingdom,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2465710,29,Trinidad and Tobago,Female,Trinidad & Tobago,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2465341,30,United Arab Emirates,Male,India,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2457683,32,Trinidad and Tobago,Female,Trinidad & Tobago,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2053641,31,Pakistan,Male,Pakistan,PTMFMFAMME2P,1,Fully matriculated,,,,
S2272111,29,Trinidad and Tobago,Male,Trinidad & Tobago,PTMFMFAMME2P,2,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2131092,35,Trinidad and Tobago,Female,Trinidad & Tobago,PTMFMFAMME2P,3,Fully matriculated,,,,
S1997367,35,Uganda,Male,Uganda,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2497983,53,United States of America,Male,United States,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2619633,36,,Female,Trinidad & Tobago,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2118427,36,Malawi,Female,Malawi,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2136786,43,Japan,Male,Japan,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2597548,30,Rwanda,Male,Rwanda,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2597748,26,Kenya,Male,Kenya,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2126796,31,Japan,Male,Japan,PTMFMFAMME2P,3,Fully matriculated,,,,
S2130781,33,Malawi,Female,Malawi,PTMFMFAMME2P,3,Fully matriculated,,,,
S2613901,30,BURMA,Male,Burma [Myanmar],PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2465094,35,Trinidad and Tobago,Female,Trinidad & Tobago,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2439011,28,Trinidad and Tobago,Female,Trinidad & Tobago,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2263016,38,Singapore,Male,Malaysia,PTMFMFAMME2P,2,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2599123,36,Nigeria,Female,Nigeria,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2271450,34,Trinidad and Tobago,Female,Trinidad & Tobago,PTMFMFAMME2P,2,Fully matriculated,,,,
S1995651,32,ESWATINI,Male,Eswatini (formerly Swaziland),PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2619289,31,,Female,Trinidad & Tobago,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2465119,33,Zambia,Male,Zambia,PTMFMFAMME2P,1,Fully matriculated,,,,
S2175098,35,Saudi Arabia,Female,Egypt,PTMFMFAMME2P,2,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2221033,31,Scotland,Male,Greece,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2613109,30,Nigeria,Male,Nigeria,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2446783,38,Kenya,Male,Kenya,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2459809,29,Kenya,Female,Kenya,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2272472,37,Botswana,Female,Zambia,PTMFMFAMME2P,2,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2442331,35,Uganda,Female,Uganda,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2246719,41,United States of America,Female,United States,PTMFMFAMME2P,2,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2138332,31,Burma (Myanmar),Male,Burma [Myanmar],PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2453264,49,Kenya,Male,Kenya,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2457576,36,Nigeria,Male,Nigeria,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2004048,39,Japan,Male,Japan,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2444274,39,Jamaica,Male,Jamaica,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2258600,29,Kenya,Male,Kenya,PTMFMFAMME2P,2,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2599469,24,Ghana,Female,Ghana,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2542935,38,NIGERIA,Female,Nigeria,PTMFMFAMME2P,1,New entrant not yet matriculated,,"'GLHE11092 Applying Evidence-Based Practice in Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'",,
S2456791,32,Kenya,Female,Kenya,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2464782,35,Trinidad and Tobago,Female,Trinidad & Tobago,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S1700854,36,Dominica,Female,Dominica,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2465761,34,Trinidad and Tobago,Female,Trinidad & Tobago,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2465731,30,"Caribbean, not otherwise specified",Female,Trinidad & Tobago,PTMFMFAMME2P,1,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2256892,29,Sri Lanka,Male,Sri Lanka,PTMFMFAMME2P,2,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'",
S2134935,47,India,Female,India,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2138514,43,Mauritius,Female,Mauritius,PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
S2131907,36,Qatar,Female,Syria [Syrian Arab Republic],PTMFMFAMME2P,3,Fully matriculated,,"'GLHE11072 Applied Principles of Family Medicine','GLHE11071 Foundations of Family Medicine','GLHE11073 Professionalism in Family Practice'","'GLHE11078 Family Medicine Approach to Maternal and Child Health','GLHE11077 Family Medicine Approach to Non-Communicable Disease','GLHE11079 Family Medicine Approach to Patients with Complex Needs'","'GLHE11084 Family Medicine Research Methods','GLHE11085 Family Medicine Research Project'"
